Date,Ticker-Added,Security-Added,Ticker-Removed,Security-Removed,Reason
3-Apr-20,OTIS,Otis Worldwide,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[9]
3-Apr-20,CARR,Carrier Global,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[9]
8-Apr-16,UA,Under ArmouræClass C,,,Under Armour distribution of second class of stock
18-Sep-15,CMCSK,ComcastæClass K Special,,,Share class methodology change[95]
18-Sep-15,FOX,Twenty-First Century FoxæClass B,,,Share class methodology change
18-Sep-15,NWS,News CorporationæClass B,,,Share class methodology change
6-Aug-14,DISCK,Discovery Communications,,,Class C share distribution[116]
3-Apr-14,GOOGL,Google Inc.,,,Google Class C share distribution[122]
23-Dec-13,ADS,Alliance Data Systems,ANF,Abercrombie & Fitch,Market capitalization changes.[126]
18-Jun-18,HFC,HollyFrontier,AYI,Acuity Brands,Capitalization rebalance.
3-May-16,AYI,Acuity Brands Inc,ADT,ADT Corp,ADT acquired by APO[76]
20-Sep-13,VRTX,Vertex Pharmaceuticals,AMD,Advanced Micro Devices,Market capitalization changes[131]
3-Dec-18,MXIM,Maxim Integrated Products Inc,AET,Aetna Inc,CVS acquired Aetna[30]
23-Dec-19,LYV,Live Nation Entertainment,AMG,Affiliated Managers Group,Market capitalization change.[12]
1-Jul-16,LNT,Alliant Energy Corp,GAS,AGL Resources,GAS acquired by SO[69]
23-May-16,LKQ,LKQ Corporation,ARG,Airgas Inc,ARG acquired by Air Liquide[73]
16-Dec-11,BWA,BorgWarner Inc.,AKS,AK Steel Holding Corp.,Market capitalization changes[160]
2-Jun-06,JNPR,Juniper Networks,ABS,Albertsons,Albertsons acquired by SuperValu and CVS Corp.[197]
25-Feb-11,JOY,Joy Global Inc.,AYE,Allegheny Energy Inc.,Acquired by First Energy (FE).[173]
2-Jul-15,CPGX,Columbia Pipeline Group,ATI,Allegheny Technologies,Spin off of Columbia Pipeline.[101]
12-May-20,DXCM,Dexcom,AGN,Allergan,Allergan acquired byæAbbVie.[8]
23-Mar-15,AAL,American Airlines Group,AGN,"Allergan, Inc","Allergan acquired by Actavis plc (and changed name to Allergan, pl.[106]"
22-Jun-20,BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems,Market capitalization change.[6]
2-Oct-12,KRFT,Kraft Foods Group,ANR,Alpha Natural Resources,Kraft split into two companies[146]
29-Dec-15,CHD,Church & Dwight,ALTR,Altera Corp,ALTR taken over by INTC[88]
10-Jun-08,LO,Lorillard Inc.,ABK,Ambac Financial,Market Value Decline[189]
3-Mar-09,HRL,Hormel Foods,ACAS,American Capital,Capitalization rebalance.[184]
9-Aug-19,LDOS,Leidos Holdings,APC,Anadarko Petroleum,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[19]
1-Oct-18,ROL,Rollins Inc.,ANDV,Andeavor,ANDV acquired byæMarathon Petroleum.[34]
28-Jun-13,FOXA,21st Century Fox,APOL,Apollo Group Inc.,Apollo Group's market cap more representative of a mid-cap[134]
8-Aug-17,BHF,Brighthouse Financial Inc,AN,AutoNation Inc,"BHF replaced AN,[50]æMET spun off BHF[50]"
26-Oct-07,JEC,Jacobs Engineering Group,AV,Avaya Inc.,Taken private[192]
23-Mar-15,HBI,Hanesbrands,AVP,Avon Products,Market Capitalization Changes.
3-Jun-16,TDG,TransDigm Group,BXLT,Baxalta Inc,SHPG acquiring BXLT[71]
1-May-14,UA,Under Armour,BEAM,Beam Inc.,Beam acquired by Suntory[121]
26-Jul-17,AOS,A.O. Smith,BBBY,Bed Bath & Beyond,Market capitalization changes.
5-Dec-14,RCL,Royal Caribbean Cruises,BMS,Bemis Company,Market cap changes[112]
5-Dec-00,INTU,Intuit,BS,Bethlehem Steel,Market Cap changes.[200]
15-Feb-13,PVH,PVH Corp.,BIG,Big Lots Inc.,Market capitalization changes[140]
29-Apr-10,CERN,Cerner Corp.,BJS,BJ Services Company,Acquired by Baker Hughes Inc. (BHI)[180]
10-Sep-13,DAL,Delta Air Lines,BMC,BMC Software,BMC taken private by consortium[132]
2-Apr-19,DOW,Dow Inc.,BHF,Brighthouse Financial,DOW spun off from DWDP[24]
1-Feb-16,FRT,Federal Realty Investment Trust,BRCM,Broadcom Corporation,FRT replaces BRCM[85]
6-Nov-18,KEYS,Keysight Technologies,CA,CA Inc.,CA acquired byæBroadcom Inc..[32]
22-Jun-16,FBHS,Fortune Brands Home & Security,CVC,Cablevision Systems,CVC acquired by Altice NV[70]
4-Apr-16,FL,Foot Locker Inc,CAM,Cameron International,Schlumberger acquired Cameron[79]
12-May-20,DPZ,Domino's Pizza,CPRI,Capri Holdings,Market capitalization change.[8]
18-Mar-15,HSIC,Henry Schein,CFN,Carefusion,Carefusion acquired by Becton Dickinson[108]
21-Nov-19,NOW,ServiceNow,CELG,Celgene,Bristol-Myers SquibbæCo. (NYSE:BMY) acquired Celgene.[15]
14-Oct-11,TEL,TE Connectivity Ltd.,CEPH,Cephalon Inc.,Acquired byæTeva Pharmaceutical Industriesæ(TEVA).[164]
19-Mar-18,NKTR,Nektar Therapeutics,CHK,Chesapeake Energy,Market capitalization changes.
19-Jan-16,EXR,Extra Space Storage,CB,Chubb Corp,EXR replaces CB[86]
3-Mar-20,GDI,Gardner Denver,XEC,Cimarex Energy,"Gardner Denver acquiredæIngersoll Rand plc's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc. and later changed the ticker to IR.[10]"
2-Apr-14,ESS,Essex Property Trust Inc,CLF,Cliffs Natural Resources,Market capitalization changes[123]
31-May-16,AJG,Arthur J. Gallagher & Co.,CCE,Coca-Cola Enterprises,CCE merging with European bottlers[72]
5-Jul-16,FTV,Fortive Corp,CPGX,Columbia Pipeline Group,CPGX acquired by TRP[68]
15-Dec-15,,,CMCSK,Comcast K Corp,CMCSK shares no longer listed[89]
1-Dec-15,CSRA,CSRA Inc,CSC,Computer Sciences Corp,CSC spins off CSRA[90]
31-Dec-11,WPX,"WPX Energy, Inc.",CPWR,Compuware,Market capitalization changes[158]
4-Mar-16,AWK,American Water Works Company Inc,CNX,Consol Energy,AWK replaces CNX[82]
13-Mar-12,CCI,Crown Castle International Corp.,CEG,Constellation Energy Group,Acquired by Exelon Corp. (EXC)[157]
3-Dec-12,DG,Dollar General,CBE,Cooper Industries,Acquired by Eaton Corp. (ETN)[144]
28-Sep-09,ARG,Airgas Inc,CBE,Cooper Industries Ltd.,Redomesticated to Ireland[183]
8-May-13,MAC,Macerich,CVH,Coventry Health Care,Acquired by Aetna (AET)[138]
27-Jan-15,ENDP,Endo International,COV,Covidien,Covidien acquired by Medtronic[111]
3-Jan-18,HII,Huntington Ingalls Industries,BCR,CR Bard,Becton Dickinsonæacquired BCR.[46]
5-Dec-00,ABK,Ambac Financial,CCK,Crown Holdings,Market Cap changes.
4-Apr-18,MSCI,MSCI,CSRA,CSRA Inc.,S&P 500 constituentæGeneral DynamicsæCorp. (NYSE: GD) acquired CSRA.[43]
23-May-13,KSU,Kansas City Southern,DF,Dean Foods,DF too small after spinoff of White Wave Foods[137]
29-Oct-13,RIG,Transocean,DELL,"Dell, Inc.",Founder Michael Dell and Silver Lake Partners acquired Dell.[130]
23-Mar-15,EQIX,Equinix,DNR,Denbury Resources,Market Capitalization Changes.[107]
1-Oct-12,PNR,Pentair Ltd.,DV,"DeVry, Inc.",Tyco spin-off merged w/Pentair[147]
30-Sep-16,COTY,"Coty, Inc.",DO,Diamond Offshore Drilling,COTY replaces DO[64]
29-Jul-15,SIG,Signet Jewelers,DTV,DirecTV,DirectTV acquired by AT&T[97]
13-Dec-07,GME,GameStop,DJ,Dow Jones,Acquired byæNews Corp.[191]
2-Jul-18,CPRT,Copart,DPS,Dr Pepper Snapple Group,DPS acquired byæKeurig Green Mountain.[37]
5-Apr-17,IT,Gartner Inc,DNB,Dun & Bradstreet,IT acquiring CEB[55]
1-Sep-17,SBAC,SBA Communications,DD,DuPont,The Dow Chemical Company acquired DuPont.[49]
17-Dec-10,FFIV,F5 Networks Inc.,EK,Eastman Kodak Co.,Market Cap changes.[174]
17-May-12,KMI,Kinder Morgan,EP,El Paso Corp.,Acquired by Kinder Morgan (KMI)[154]
8-Sep-16,CHTR,Charter Communications,EMC,EMC Corporation,Dell acquires EMC[66]
2-Mar-17,REG,Regency Centers Corporation,ENDP,Endo International,REG acquires EQY[61]
30-Mar-16,CNC,Centene Corporation,ESV,Ensco plc (nowæValaris plc,Centene acquired Health Net[80]
11-Oct-18,FTNT,Fortinet,EVHC,Envision Healthcare,EVHC acquired byæKohlberg Kravis Roberts.[33]
13-Nov-18,JKHY,Jack Henry & Associates,EQT,EQT Corp,EQT spun off ETRN[31]
24-Dec-18,CE,Celanese,ESRX,Express Scripts,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[29]
8-Jul-15,AAP,Advance Auto Parts,FDO,Family Dollar Stores Inc.,Family Dollar Acquired.[99]
12-Sep-08,FAST,Fastenal,FNM,Fannie Mae,Capitalization rebalance.[188]
31-Dec-12,ABBV,AbbVie,FII,Federated Investors,ABBV spun off from Abbott Labs (ABT)[141]
26-Sep-07,ICE,Intercontinental Exchange,FDC,First Data Corp.,FDC acquired byæKohlberg Kravis Roberts.[193]
21-Jun-13,ZTS,Zoetis,FHN,First Horizon,Zoetis spun off by Pfizer[135]
20-Mar-17,ARE,Alexandria Real Estate Equities,FSLR,First Solar,Market capitalization changes.
