date,company_name,name,action
1/1/1957,Eversource Energy,ES,added_ticker
1/1/1957,Hartford Financial Svc.Gp.,HIG,added_ticker
1/1/1957,T. Rowe Price Group,TROW,added_ticker
1/1/1957,NiSource Inc.,NI,added_ticker
1/1/1957,Exelon Corp.,EXC,added_ticker
1/1/1957,Southern Co.,SO,added_ticker
1/1/1957,MetLife Inc.,MET,added_ticker
1/1/1957,Chevron Corp.,CVX,added_ticker
1/1/1957,State Street Corp.,STT,added_ticker
1/1/1957,Texas Instruments,TXN,added_ticker
1/1/1957,Thermo Fisher Scientific,TMO,added_ticker
1/1/1957,Tyson Foods,TSN,added_ticker
1/1/1957,Union Pacific Corp,UNP,added_ticker
1/1/1957,United Technologies,UTX,added_ticker
1/1/1957,eBay Inc.,EBAY,added_ticker
1/1/1957,Moody's Corp,MCO,added_ticker
1/1/1957,Procter & Gamble,PG,added_ticker
1/1/1957,Weyerhaeuser,WY,added_ticker
1/1/1957,PPG Industries,PPG,added_ticker
1/1/1957,PepsiCo Inc.,PEP,added_ticker
1/1/1957,International Paper,IP,added_ticker
1/1/1957,Kellogg Co.,K,added_ticker
1/1/1957,Kimberly-Clark,KMB,added_ticker
1/1/1957,Kroger Co.,KR,added_ticker
1/1/1957,Leggett & Platt,LEG,added_ticker
1/1/1957,Loews Corp.,L,added_ticker
1/1/1957,McCormick & Co.,MKC,added_ticker
1/1/1957,"S&P Global, Inc.",SPGI,added_ticker
1/1/1957,CVS Health,CVS,added_ticker
1/1/1957,ConocoPhillips,COP,added_ticker
1/1/1957,Entergy Corp.,ETR,added_ticker
1/1/1957,3M Company,MMM,added_ticker
1/1/1957,Motorola Solutions Inc.,MSI,added_ticker
1/1/1957,Xcel Energy Inc,XEL,added_ticker
1/1/1957,Northern Trust Corp.,NTRS,added_ticker
1/1/1957,Pfizer Inc.,PFE,added_ticker
1/1/1957,Whirlpool Corp.,WHR,added_ticker
1/1/1957,Xerox,XRX,added_ticker
1/1/1957,Marriott Int'l.,MAR,added_ticker
1/1/1957,Altria Group Inc,MO,added_ticker
1/1/1957,PPL Corp.,PPL,added_ticker
1/1/1957,Pinnacle West Capital,PNW,added_ticker
1/1/1957,Public Serv. Enterprise Inc.,PEG,added_ticker
1/1/1957,Harley-Davidson,HOG,added_ticker
1/1/1957,Macy's Inc.,M,added_ticker
1/1/1957,QUALCOMM Inc.,QCOM,added_ticker
1/1/1957,Vornado Realty Trust,VNO,added_ticker
1/1/1957,Waste Management Inc.,WM,added_ticker
1/1/1957,Edison Int'l,EIX,added_ticker
1/1/1957,Starbucks Corp.,SBUX,added_ticker
1/1/1957,Morgan Stanley,MS,added_ticker
1/1/1957,Kohl's Corp.,KSS,added_ticker
1/1/1957,Freeport-McMoRan Inc.,FCX,added_ticker
1/1/1957,D. R. Horton,DHI,added_ticker
1/1/1957,McKesson Corp.,MCK,added_ticker
1/1/1957,DTE Energy Co.,DTE,added_ticker
1/1/1957,Darden Restaurants,DRI,added_ticker
1/1/1957,Waters Corporation,WAT,added_ticker
1/1/1957,Consolidated Edison,ED,added_ticker
1/1/1957,Raytheon Co.,RTN,added_ticker
1/1/1957,L3Harris Technologies,LHX,added_ticker
1/1/1957,Juniper Networks,JNPR,added_ticker
1/1/1957,Merck & Co.,MRK,added_ticker
1/1/1957,Danaher Corp.,DHR,added_ticker
1/1/1957,Deere & Co.,DE,added_ticker
1/1/1957,International Business Machines,IBM,added_ticker
1/1/1957,KLA Corporation,KLAC,added_ticker
1/1/1957,Sempra Energy,SRE,added_ticker
1/1/1957,FirstEnergy Corp,FE,added_ticker
1/1/1957,Rockwell Automation Inc.,ROK,added_ticker
1/1/1957,Norfolk Southern Corp.,NSC,added_ticker
1/1/1957,Dominion Energy,D,added_ticker
1/1/1957,Sealed Air,SEE,added_ticker
1/1/1957,Paychex Inc.,PAYX,added_ticker
1/1/1957,Valero Energy,VLO,added_ticker
1/1/1957,Huntington Bancshares,HBAN,added_ticker
1/1/1957,"Tapestry, Inc.",TPR,added_ticker
1/1/1957,Viacom Inc.,VIAB,added_ticker
1/1/1957,Franklin Resources,BEN,added_ticker
1/1/1957,Ford Motor,F,added_ticker
1/1/1957,M&T Bank Corp.,MTB,added_ticker
1/1/1957,U.S. Bancorp,USB,added_ticker
1/1/1957,Fifth Third Bancorp,FITB,added_ticker
1/1/1957,Exxon Mobil Corp.,XOM,added_ticker
1/1/1957,Omnicom Group,OMC,added_ticker
1/1/1957,Corning Inc.,GLW,added_ticker
1/1/1957,Colgate-Palmolive,CL,added_ticker
1/1/1957,Coca-Cola Company,KO,added_ticker
1/1/1957,Caterpillar Inc.,CAT,added_ticker
1/1/1957,Campbell Soup,CPB,added_ticker
1/1/1957,Humana Inc.,HUM,added_ticker
1/1/1957,Bristol-Myers Squibb,BMY,added_ticker
1/1/1957,Boeing Company,BA,added_ticker
1/1/1957,WestRock,WRK,added_ticker
1/1/1957,American Electric Power,AEP,added_ticker
1/1/1957,DuPont de Nemours Inc,DD,added_ticker
1/1/1957,"Baker Hughes, a GE Company",BHGE,added_ticker
1/1/1957,General Dynamics,GD,added_ticker
1/1/1957,General Electric,GE,added_ticker
1/1/1957,Eaton Corporation,ETN,added_ticker
1/1/1957,The Hershey Company,HSY,added_ticker
1/1/1957,Halliburton Co.,HAL,added_ticker
1/1/1957,Western Union Co,WU,added_ticker
