ticker,security_name,sp500,djia30
MMM,3M Company,TRUE,TRUE
ABT,Abbott Laboratories,TRUE,FALSE
ABBV,AbbVie Inc.,TRUE,FALSE
ABMD,ABIOMED Inc,TRUE,FALSE
ACN,Accenture plc,TRUE,FALSE
ATVI,Activision Blizzard,TRUE,FALSE
ADBE,Adobe Inc.,TRUE,FALSE
AMD,Advanced Micro Devices Inc,TRUE,FALSE
AAP,Advance Auto Parts,TRUE,FALSE
AES,AES Corp,TRUE,FALSE
AFL,AFLAC Inc,TRUE,FALSE
A,Agilent Technologies Inc,TRUE,FALSE
APD,Air Products & Chemicals Inc,TRUE,FALSE
AKAM,Akamai Technologies Inc,TRUE,FALSE
ALK,Alaska Air Group Inc,TRUE,FALSE
ALB,Albemarle Corp,TRUE,FALSE
ARE,Alexandria Real Estate Equities,TRUE,FALSE
ALXN,Alexion Pharmaceuticals,TRUE,FALSE
ALGN,Align Technology,TRUE,FALSE
ALLE,Allegion,TRUE,FALSE
LNT,Alliant Energy Corp,TRUE,FALSE
ALL,Allstate Corp,TRUE,FALSE
GOOGL,Alphabet Inc. (Class A),TRUE,FALSE
GOOG,Alphabet Inc. (Class C),TRUE,FALSE
MO,Altria Group Inc,TRUE,FALSE
AMZN,Amazon.com Inc.,TRUE,FALSE
AMCR,Amcor plc,TRUE,FALSE
AEE,Ameren Corp,TRUE,FALSE
AAL,American Airlines Group,TRUE,FALSE
AEP,American Electric Power,TRUE,FALSE
AXP,American Express Co,TRUE,TRUE
AIG,American International Group,TRUE,FALSE
AMT,American Tower Corp.,TRUE,FALSE
AWK,American Water Works Company Inc,TRUE,FALSE
AMP,Ameriprise Financial,TRUE,FALSE
ABC,AmerisourceBergen Corp,TRUE,FALSE
AME,AMETEK Inc.,TRUE,FALSE
AMGN,Amgen Inc.,TRUE,FALSE
APH,Amphenol Corp,TRUE,FALSE
ADI,"Analog Devices, Inc.",TRUE,FALSE
ANSS,ANSYS,TRUE,FALSE
ANTM,Anthem,TRUE,FALSE
AON,Aon plc,TRUE,FALSE
AOS,A.O. Smith Corp,TRUE,FALSE
APA,Apache Corporation,TRUE,FALSE
AIV,Apartment Investment & Management,TRUE,FALSE
AAPL,Apple Inc.,TRUE,TRUE
AMAT,Applied Materials Inc.,TRUE,FALSE
APTV,Aptiv PLC,TRUE,FALSE
ADM,Archer-Daniels-Midland Co,TRUE,FALSE
ANET,Arista Networks,TRUE,FALSE
AJG,Arthur J. Gallagher & Co.,TRUE,FALSE
AIZ,Assurant,TRUE,FALSE
T,AT&T Inc.,TRUE,FALSE
ATO,Atmos Energy,TRUE,FALSE
ADSK,Autodesk Inc.,TRUE,FALSE
ADP,Automatic Data Processing,TRUE,FALSE
AZO,AutoZone Inc,TRUE,FALSE
AVB,AvalonBay Communities,TRUE,FALSE
AVY,Avery Dennison Corp,TRUE,FALSE
BKR,Baker Hughes Co,TRUE,FALSE
BLL,Ball Corp,TRUE,FALSE
BAC,Bank of America Corp,TRUE,FALSE
BK,The Bank of New York Mellon,TRUE,FALSE
BAX,Baxter International Inc.,TRUE,FALSE
BDX,Becton Dickinson,TRUE,FALSE
BRK.B,Berkshire Hathaway,TRUE,FALSE
BBY,Best Buy Co. Inc.,TRUE,FALSE
BIO,Bio-Rad Laboratories,TRUE,FALSE
BIIB,Biogen Inc.,TRUE,FALSE
BLK,BlackRock,TRUE,FALSE
BA,Boeing Company,TRUE,TRUE
BKNG,Booking Holdings Inc,TRUE,FALSE
BWA,BorgWarner,TRUE,FALSE
BXP,Boston Properties,TRUE,FALSE
BSX,Boston Scientific,TRUE,FALSE
BMY,Bristol-Myers Squibb,TRUE,FALSE
AVGO,Broadcom Inc.,TRUE,FALSE
BR,Broadridge Financial Solutions,TRUE,FALSE
BF.B,Brown-Forman Corp.,TRUE,FALSE
CHRW,C. H. Robinson Worldwide,TRUE,FALSE
COG,Cabot Oil & Gas,TRUE,FALSE
CDNS,Cadence Design Systems,TRUE,FALSE
CPB,Campbell Soup,TRUE,FALSE
COF,Capital One Financial,TRUE,FALSE
CAH,Cardinal Health Inc.,TRUE,FALSE
KMX,Carmax Inc,TRUE,FALSE
CCL,Carnival Corp.,TRUE,FALSE
CARR,Carrier Global,TRUE,FALSE
CAT,Caterpillar Inc.,TRUE,TRUE
CBOE,Cboe Global Markets,TRUE,FALSE
CBRE,CBRE Group,TRUE,FALSE
CDW,CDW,TRUE,FALSE
CE,Celanese,TRUE,FALSE
CNC,Centene Corporation,TRUE,FALSE
CNP,CenterPoint Energy,TRUE,FALSE
CTL,CenturyLink Inc,TRUE,FALSE
CERN,Cerner,TRUE,FALSE
CF,CF Industries Holdings Inc,TRUE,FALSE
SCHW,Charles Schwab Corporation,TRUE,FALSE
CHTR,Charter Communications,TRUE,FALSE
CVX,Chevron Corp.,TRUE,TRUE
CMG,Chipotle Mexican Grill,TRUE,FALSE
CB,Chubb Limited,TRUE,FALSE
CHD,Church & Dwight,TRUE,FALSE
CI,CIGNA Corp.,TRUE,FALSE
CINF,Cincinnati Financial,TRUE,FALSE
CTAS,Cintas Corporation,TRUE,FALSE
CSCO,Cisco Systems,TRUE,TRUE
C,Citigroup Inc.,TRUE,FALSE
CFG,Citizens Financial Group,TRUE,FALSE
CTXS,Citrix Systems,TRUE,FALSE
CLX,The Clorox Company,TRUE,FALSE
CME,CME Group Inc.,TRUE,FALSE
CMS,CMS Energy,TRUE,FALSE
KO,Coca-Cola Company,TRUE,TRUE
CTSH,Cognizant Technology Solutions,TRUE,FALSE
CL,Colgate-Palmolive,TRUE,FALSE
CMCSA,Comcast Corp.,TRUE,FALSE
CMA,Comerica Inc.,TRUE,FALSE
CAG,Conagra Brands,TRUE,FALSE
CXO,Concho Resources,TRUE,FALSE
COP,ConocoPhillips,TRUE,FALSE
ED,Consolidated Edison,TRUE,FALSE
STZ,Constellation Brands,TRUE,FALSE
COO,The Cooper Companies,TRUE,FALSE
CPRT,Copart Inc,TRUE,FALSE
GLW,Corning Inc.,TRUE,FALSE
CTVA,Corteva,TRUE,FALSE
COST,Costco Wholesale Corp.,TRUE,FALSE
COTY,"Coty, Inc",TRUE,FALSE
CCI,Crown Castle International Corp.,TRUE,FALSE
CSX,CSX Corp.,TRUE,FALSE
CMI,Cummins Inc.,TRUE,FALSE
CVS,CVS Health,TRUE,FALSE
DHI,D. R. Horton,TRUE,FALSE
DHR,Danaher Corp.,TRUE,FALSE
DRI,Darden Restaurants,TRUE,FALSE
DVA,DaVita Inc.,TRUE,FALSE
DE,Deere & Co.,TRUE,FALSE
DAL,Delta Air Lines Inc.,TRUE,FALSE
XRAY,Dentsply Sirona,TRUE,FALSE
DVN,Devon Energy,TRUE,FALSE
DXCM,DexCom,TRUE,FALSE
FANG,Diamondback Energy,TRUE,FALSE
DLR,Digital Realty Trust Inc,TRUE,FALSE
DFS,Discover Financial Services,TRUE,FALSE
DISCA,"Discovery, Inc. (Class A)",TRUE,FALSE
DISCK,"Discovery, Inc. (Class C)",TRUE,FALSE
DISH,Dish Network,TRUE,FALSE
DG,Dollar General,TRUE,FALSE
DLTR,Dollar Tree,TRUE,FALSE
D,Dominion Energy,TRUE,FALSE
DPZ,Domino's Pizza,TRUE,FALSE
DOV,Dover Corporation,TRUE,FALSE
DOW,Dow Inc.,TRUE,TRUE
DTE,DTE Energy Co.,TRUE,FALSE
DUK,Duke Energy,TRUE,FALSE
DRE,Duke Realty Corp,TRUE,FALSE
DD,DuPont de Nemours Inc,TRUE,FALSE
DXC,DXC Technology,TRUE,FALSE
ETFC,E*Trade,TRUE,FALSE
EMN,Eastman Chemical,TRUE,FALSE
ETN,Eaton Corporation,TRUE,FALSE
EBAY,eBay Inc.,TRUE,FALSE
ECL,Ecolab Inc.,TRUE,FALSE
EIX,Edison Int'l,TRUE,FALSE
EW,Edwards Lifesciences,TRUE,FALSE
EA,Electronic Arts,TRUE,FALSE
EMR,Emerson Electric Company,TRUE,FALSE
ETR,Entergy Corp.,TRUE,FALSE
EOG,EOG Resources,TRUE,FALSE
EFX,Equifax Inc.,TRUE,FALSE
EQIX,Equinix,TRUE,FALSE
EQR,Equity Residential,TRUE,FALSE
ESS,"Essex Property Trust, Inc.",TRUE,FALSE
EL,Estée Lauder Companies,TRUE,FALSE
EVRG,Evergy,TRUE,FALSE
ES,Eversource Energy,TRUE,FALSE
RE,Everest Re Group Ltd.,TRUE,FALSE
EXC,Exelon Corp.,TRUE,FALSE
EXPE,Expedia Group,TRUE,FALSE
EXPD,Expeditors,TRUE,FALSE
EXR,Extra Space Storage,TRUE,FALSE
XOM,Exxon Mobil Corp.,TRUE,TRUE
FFIV,F5 Networks,TRUE,FALSE
